Date,Open,High,Low,Close
2013-08-19,1.5627,1.5649,1.5627,1.5649
2013-08-20,1.5649,1.5669,1.5649,1.5669
2013-08-21,1.5669,1.5669,1.566,1.566
2013-08-22,1.566,1.566,1.5591,1.5591
2013-08-23,1.5591,1.5591,1.5569,1.5569
2013-08-26,1.5569,1.5578,1.5569,1.5578
2013-08-27,1.5578,1.5578,1.5547,1.5547
2013-08-28,1.5547,1.5547,1.5528,1.5528
2013-08-29,1.5528,1.5528,1.5506,1.5506
2013-08-30,1.5506,1.5506,1.5505,1.5505
2013-09-02,1.5505,1.5546,1.5505,1.5546
2013-09-03,1.5546,1.5558,1.5546,1.5558
2013-09-04,1.5558,1.5627,1.5558,1.5627
2013-09-05,1.5627,1.5627,1.5591,1.5591
2013-09-06,1.5591,1.5633,1.5591,1.5633
2013-09-09,1.5633,1.5696,1.5633,1.5696
2013-09-10,1.5696,1.5735,1.5696,1.5735
2013-09-11,1.5735,1.5819,1.5735,1.5819
2013-09-12,1.5819,1.5819,1.5806,1.5806
2013-09-13,1.5806,1.5875,1.5806,1.5875
2013-09-16,1.5875,1.5898,1.5875,1.5898
2013-09-17,1.5898,1.5905,1.5898,1.5905
2013-09-18,1.5905,1.6148,1.5905,1.6148
2013-09-19,1.6148,1.6148,1.6032,1.6032
2013-09-20,1.6032,1.6032,1.6006,1.6006
2013-09-23,1.6006,1.6044,1.6006,1.6044
2013-09-24,1.6044,1.6044,1.6005,1.6005
2013-09-25,1.6005,1.6081,1.6005,1.6081
2013-09-26,1.6081,1.6081,1.6042,1.6042
2013-09-27,1.6042,1.614,1.6042,1.614
2013-09-30,1.614,1.6187,1.614,1.6187
2013-10-01,1.6187,1.6197,1.6187,1.6197
2013-10-02,1.6197,1.6224,1.6197,1.6224
2013-10-03,1.6224,1.6224,1.6158,1.6158
2013-10-04,1.6158,1.6158,1.6011,1.6011
2013-10-07,1.6011,1.6099,1.6011,1.6099
2013-10-08,1.6099,1.6099,1.6086,1.6086
2013-10-09,1.6086,1.6086,1.5958,1.5958
2013-10-10,1.5958,1.5967,1.5958,1.5967
2013-10-11,1.5967,1.5967,1.5956,1.5956
2013-10-14,1.5956,1.5984,1.5956,1.5984
2013-10-15,1.5984,1.5998,1.5984,1.5998
2013-10-16,1.5998,1.5998,1.595,1.595
2013-10-17,1.595,1.6166,1.595,1.6166
2013-10-18,1.6166,1.6167,1.6166,1.6167
2013-10-21,1.6167,1.6167,1.6148,1.6148
2013-10-22,1.6148,1.6237,1.6148,1.6237
2013-10-23,1.6237,1.6237,1.6165,1.6165
2013-10-24,1.6165,1.6205,1.6165,1.6205
2013-10-25,1.6205,1.6205,1.6165,1.6165
2013-10-28,1.6165,1.6165,1.6144,1.6144
2013-10-29,1.6144,1.6144,1.6048,1.6048
2013-10-30,1.6048,1.6048,1.6041,1.6041
2013-10-31,1.6041,1.6041,1.6039,1.6039
2013-11-01,1.6039,1.6039,1.5925,1.5925
2013-11-04,1.5925,1.5969,1.5925,1.5969
2013-11-05,1.5969,1.6046,1.5969,1.6046
2013-11-06,1.6046,1.6082,1.6046,1.6082
2013-11-07,1.6082,1.6098,1.6082,1.6098
2013-11-08,1.6098,1.6098,1.6021,1.6021
2013-11-11,1.6021,1.6021,1.599,1.599
2013-11-12,1.599,1.599,1.5906,1.5906
2013-11-13,1.5906,1.6057,1.5906,1.6057
2013-11-14,1.6057,1.6066,1.6057,1.6066
2013-11-15,1.6066,1.6119,1.6066,1.6119
2013-11-18,1.6119,1.6119,1.6111,1.6111
2013-11-19,1.6111,1.612,1.6111,1.612
2013-11-20,1.612,1.612,1.6108,1.6108
2013-11-21,1.6108,1.62,1.6108,1.62
2013-11-22,1.62,1.6227,1.62,1.6227
2013-11-25,1.6227,1.6227,1.6155,1.6155
2013-11-26,1.6155,1.6218,1.6155,1.6218
2013-11-27,1.6218,1.6287,1.6218,1.6287
2013-11-28,1.6287,1.6345,1.6287,1.6345
2013-11-29,1.6345,1.6369,1.6345,1.6369
2013-12-02,1.6369,1.6369,1.6357,1.6357
2013-12-03,1.6357,1.6392,1.6357,1.6392
2013-12-04,1.6392,1.6392,1.6384,1.6384
2013-12-05,1.6384,1.6384,1.6337,1.6337
2013-12-06,1.6337,1.635,1.6337,1.635
2013-12-09,1.635,1.643,1.635,1.643
2013-12-10,1.643,1.6447,1.643,1.6447
2013-12-11,1.6447,1.6447,1.6378,1.6378
2013-12-12,1.6378,1.6378,1.6352,1.6352
2013-12-13,1.6352,1.6352,1.63,1.63
2013-12-16,1.63,1.63,1.6299,1.6299
